config,I_RL_max_mA,I_RL_mean_mA,V_out_max_V,V_out_mean_V,E_out_total_mJ
MAS_filas_1,16.49952507019043,7.199745178222656,16.52885627746582,7.199721813201904,3.4970360759893606
MAS_filas_2,16.49952507019043,7.216564655303955,16.5281982421875,7.2166643142700195,3.4884351686012596
MAS_filas_3,16.49952507019043,7.220776557922363,16.52790641784668,7.220836162567139,3.492713872349418
MAS_filas_4,16.49952507019043,7.2607927322387695,16.527517318725586,7.260768890380859,3.4949747155118662
MAS_filas_5,16.49952507019043,7.266387939453125,16.52719497680664,7.266385078430176,3.495904882015596
MAS_filas_1-2,16.49952507019043,7.452258110046387,16.524595260620117,7.452322959899902,2.4592297166094474
MAS_filas_1-3,16.49952507019043,7.462531089782715,16.52415657043457,7.462595462799072,2.4634760271385336
MAS_filas_1-4,16.49952507019043,7.474013805389404,16.523771286010742,7.473993301391602,2.466070767922637
MAS_filas_1-5,16.49952507019043,7.486261367797852,16.52345085144043,7.486213207244873,2.4671383221468
MAS_filas_2-3,16.49952507019043,7.456787586212158,16.523488998413086,7.456862449645996,2.4591517786851798
MAS_filas_2-4,16.49952507019043,7.472225189208984,16.52310562133789,7.472204208374023,2.4622187925939856
MAS_filas_2-5,16.49952507019043,7.479889392852783,16.522783279418945,7.479918479919434,2.4633156106302674
MAS_filas_3-4,16.49952507019043,7.481021881103516,16.52277946472168,7.481069564819336,2.4682827006137513
MAS_filas_3-5,16.49952507019043,7.490945816040039,16.5224552154541,7.4909281730651855,2.4692649471439805
MAS_filas_4-5,16.49952507019043,7.509285926818848,16.52206802368164,7.509239673614502,2.471345971009368
MAS_filas_1-2-3,16.49952507019043,7.789279460906982,16.5199031829834,7.789336681365967,2.4255903089806914
MAS_filas_1-2-4,16.49952507019043,7.796001434326172,16.519519805908203,7.795955657958984,2.4298487437902456
MAS_filas_1-2-5,16.49952507019043,7.81074333190918,16.51919937133789,7.81076192855835,2.432052268759018
MAS_filas_1-3-4,16.49952507019043,7.80850887298584,16.519067764282227,7.8084893226623535,2.435536526333862
MAS_filas_1-3-5,16.49952507019043,7.8124189376831055,16.518749237060547,7.812341690063477,2.437866996777278
MAS_filas_1-4-5,16.49952507019043,7.824421405792236,16.51836395263672,7.82440185546875,2.440457237048635
MAS_filas_2-3-4,16.49952507019043,7.746284008026123,16.51839256286621,7.746411323547363,2.439702692295448
MAS_filas_2-3-5,16.49952507019043,7.771805763244629,16.5180721282959,7.771907806396484,2.441186937386366
MAS_filas_2-4-5,16.49952507019043,7.786040306091309,16.51768684387207,7.786103248596191,2.4446558349230023
MAS_filas_3-4-5,16.49952507019043,7.7750701904296875,16.517322540283203,7.775034427642822,2.4520497496570033
MAS_filas_1-2-3-4,16.49952507019043,8.114665031433105,16.51482391357422,8.114794731140137,3.415012175765078
MAS_filas_1-2-3-5,16.49952507019043,8.143808364868164,16.514501571655273,8.14378547668457,3.418507454713607
MAS_filas_1-2-4-5,16.49952507019043,8.15333080291748,16.51412010192871,8.153377532958984,3.4229818718112957
MAS_filas_1-3-4-5,16.49952507019043,8.16030216217041,16.513656616210938,8.160229682922363,3.429954867758448
MAS_filas_2-3-4-5,16.49952507019043,8.07122802734375,16.512969970703125,8.071282386779785,3.4417166329944124
